"species","year_described","range","is_in_germany","rare","observer"
"Milesia semiluctifera",1789,"Mediterranean basin, from central Spain through southern France to Italy (plus Sicily) and on to the former Yugoslavia, Greece and Bulgaria; Israel and Syria; in central Europe from south-east Switzerland; Roumania and the Ukraine to the Caucasus and on to as far as Turkmenistan in Asia.","no","no","Bilyana Stoykova"
"Myolepta dubia",1805,"from southern Sweden south to Spain and the Mediterranean; from Britain (southern England) eastwards through central and southern Europe (Italy, former Yugoslavia) into European parts of Russia.","yes","no","Bilyana Stoykova"
"Myolepta vara",1798,"the Netherlands south through Belgium (extinct?) and France south to the Mediterranean and central Spain; through central and South Europe to Switzerland, Austria and Roumania and on to the Balkans and the Caucasus (Azerbaijan). Also, supposedly, from the Pacific coastal region of Asiatic Russia. This species appears to be scarce over most of its European range.","no","yes","Bilyana Stoykova"
"Neoascia annexa",1776,"from southern Sweden south to the Pyrenees and northern Spain; from Belgium eastwards through mountainous parts of central and Southern Europe (Italy, Yugoslavia) into European parts of Russia and on to the Caucasus.","yes","no","Bilyana Stoykova"
"Neoascia geniculata",1822,"from northern Fennoscandia south to central France; from Ireland eastwards through northern and mountainous parts of central Europe; into Russia to eastern Siberia.","yes","no","Bilyana Stoykova"
"Neoascia interrupta",1822,"from Fennoscandia south to central France; from Britain (southern England) eastwards through central Europe (and the former Yugoslavia) into European parts of Russia and the Caucasus and on into western Siberia.","yes","no","Bilyana Stoykova"
"Neoascia meticulosa",1763,"from Fennoscandia south to northern Spain, the Alps and the former Yugoslavia; from Ireland eastwards through northern and central Europe into European parts of Russia; the Caucasus; through Siberia to as far as Cis-Baikal.","yes","no","Bilyana Stoykova"
"Neoascia obliqua",1940,"from southern Sweden south to the Pyrenees; from Ireland eastwards through central Europe to European parts of Russia; the former Yugoslavia; the Caucasus. Birtele (2011) lists many records of this species from Sardinia, which would not be expected from what is know of the occurrence of this species elsewhere.","yes","no","Bilyana Stoykova"
"Neoascia podagrica",1775,"from Fennoscandia south to Iberia and the Mediterranean, including Madeira, Cyprus and Crete; N Africa; from Ireland eastwards through northern, central and southern Europe (Italy, the former Yugoslavia, Greece) to Turkey and Israel; European parts of Russia and on into western Siberia as far as Cis-Baikal.","yes","no","Bilyana Stoykova"
"Neoascia tenur",1780,"from Iceland, Fennoscandia and the Faroes (Jensen, 2001) south to Iberia and the Mediterranean; from Ireland eastwards through most of Europe into Turkey and European parts of Russia and on through most of Siberia.","yes","no","Bilyana Stoykova"
"Neocnemodon vitripennis",1822,"known from southern Sweden southwards to central France and from Ireland eastwards through northern and central Europe into Russia and on through Siberia to the Pacific coast.","yes","no","Bilyana Stoykova"
"Orthonevra brevicornis",1843,"southern Finland and Denmark south to northern France (Brittany); from Britain (England) eastwards through parts of central Europe (Netherlands, Belgium, Germany, Poland) into European parts of Russia, the Caucasus and western Siberia.","yes","no","Bilyana Stoykova"
"Orthonevra geniculata",1830,"from northern Norway south to central France; from Ireland eastwards through northern and central Europe (plus parts of northern Italy) into Russia and on as far as eastern Siberia and Mongolia.","yes","no","Bilyana Stoykova"
"Orthonevra intermedia",1916,"from southern Norway (Nielsen, 1989) through Denmark and the Netherlands to Belgium (extinct?); from NE England and Belgium eastwards through northern and central (northern Germany, Poland, Switzerland, Hungary) Europe to European parts of Russia; through Siberia to the Pacific (Kamchatka, Sakhalin).","yes","no","Bilyana Stoykova"
"Orthonevra longicornis",,,,,"Bilyana Stoykova"
"Orthonevra nobilis",1817,"from central Norway south to the Pyrenees, Portugal and central Spain; from Ireland eastwards through northern and central Europe into European parts of Russia; also in mountainous parts of Italy, the former Yugoslavia, Greece and Turkey; the Caucasus; through Siberia to the far east; China.","yes","no","Bilyana Stoykova"
"Orthonevra splendens",,,,,"Bilyana Stoykova"
"Paragus albifrons",1817,"from southern Sweden and Denmark south to the Mediterranean; from Britain (southern England) eastwards through central and southern Europe (Italy, the former Yugoslavia, Bulgaria) into European parts of Russia and the Caucasus and on to the Pacific; Iran, Afghanistan and Mongolia.","yes","no","Bilyana Stoykova"
"Paragus bicolor",1794,"from southern Sweden and Denmark (extinct in Belgium) south to the Mediterranean and N Africa; from France eastwards through central and southern Europe to Mongolia; Iran and Afghanistan; N America.","yes","no","Bilyana Stoykova"
"Paragus compeditus",1830,"Italy, the Ukraine, Cyprus, Turkey and on to N Africa and the Afrotropical region, including the Mascarene islands; asiatic Russia; Iran; Kazakstan; Uzbekistan; Kyrgyzstan; Tajikistan; China.","no","no","Bilyana Stoykova"
"Paragus constrictus",1986,"as yet uncertain, due to confusion with other species, particularly P.tibialis (Fall.). So far, known from southern Sweden and Denmark (where it is almost entirely coastal in distribution: Bygebjerg, 2004), Ireland, Spain, Germany, the French Alps, Switzerland, Austria, Italy, the former Yugoslavia and Turkey; asiatic Russia.","yes","no","Bilyana Stoykova"
"Anasimyia contracta",1980,"from Scandinavia southwards to the Mediterranean basin and from Ireland eastwards through central Europe to European parts of Russia.","yes","no","Ricardo Andres Urrego Alvarez"
"Anasimyia femorata",1987,"known only from the type locality in Montenegro. This species should be regarded as threatened at the European level (Vujic et al, 2001).","no","yes","Ricardo Andres Urrego Alvarez"
"Anasimyia interpuncta",1776,"Fennoscandia south to northern France; Britain eastwards through central Europe into European parts of Russia.","yes","no","Ricardo Andres Urrego Alvarez"
"Anasimyia lineata",1787,"Scandinavia south to the northern edge of the Pyrenees and Ireland east through central Europe into European parts of Russia; through Siberia to the Pacific coast (Sakhalin).","yes","no","Ricardo Andres Urrego Alvarez"
"Anasimyia lunulata",1822,"Scandinavia south to north-eastern France (Jura massif); Ireland and Britain; European Russia; range elsewhere requires reconfirmation, due to confusion with A.interpuncta.","unclear","no","Ricardo Andres Urrego Alvarez"
"Anasimyia transfuga",1758,"Southern Sweden south to northern France; Ireland east through mountainous parts of central and southern Europe (the former Yugoslavia, Roumania) into Russia as far as southern parts of central Siberia (Tuva).","yes","no","Ricardo Andres Urrego Alvarez"
"Baccha elongata",1775,"Scandinavia to the Mediterranean; central Spain eastwards to Greece and Ireland eastwards into European parts of Russia. This species is also known from the Azores (Rojo et al, 1997).","unclear","no","Ricardo Andres Urrego Alvarez"
"Blera fallax",1758,"central and southerm Norway to the Pyrenees and Scotland eastwards through central Europe and Siberia to the Pacific coast (Sakhalin and Japan). The relative biogeographic isolation of the relict population of B. fallax in Scotland is apparently reflected in its lower levels of genetic diversity, as compared with Scandinavian B. fallax (Rotheray et al, 2012).","yes","no","Ricardo Andres Urrego Alvarez"
"Brachyopa bicolor",1817,"Sweden and Finland south to southern France; Britain (southern England) east through central Europe (and the former Yugoslavia) into European parts of Russia and on through Siberia to the Pacific. Ricarte et al (2006) show that published citations of this species from Spain were based on misdeterminations.","yes","no","Ricardo Andres Urrego Alvarez"
"Brachyopa dorsata",1837,"Fennoscandia south to the Pyrenees; Belgium and the Netherlands eastwards through much of central and northern Europe into European parts of Russia and on across Siberia to the Pacific.","yes","no","Ricardo Andres Urrego Alvarez"
"Brachyopa ferruginea",,,,,"Ricardo Andres Urrego Alvarez"
"Brachyopa insensilis",1939,"Denmark south to the Pyrenees and central Spain; Ireland east through central Europe into European parts of Russia and southeast to Tajikistan.","yes","no","Ricardo Andres Urrego Alvarez"
"Brachyopa maculipennis",1980,"northern Germany, Czech Republic, Austria, Slovakia, northern Italy, Hungary, Roumania, parts of the former Yugoslavia.","yes","no","Ricardo Andres Urrego Alvarez"
"Brachyopa panzeri",1945,"Southern Scandinavia to central France (Massif Centrale) and through central Europe to the Czech Republic, Switzerland and Austria; range not yet well known due to the recent date of species redefinition. (Thompson, 1980). The range of this insect may be expanding.","yes","no","Ricardo Andres Urrego Alvarez"
"Brachyopa pilosa",1939,"Fennoscandia south to central France; Britain (England) east through central Europe (Czech Republic, Switzerland) into European parts of Russia.","unclear","no","Ricardo Andres Urrego Alvarez"
"Brachyopa scutellaris",1844,"Denmark south to the Pyrenees; Ireland east through central Europe to Switzerland.","no","no","Ricardo Andres Urrego Alvarez"
"Brachyopa testacea",1817,"Scandinavia through to Asiatic parts of Russia and on to the Pacific and Mongolia; western and central Europe. This species would seem likely to spread to wherever Picea plantations are established.","yes","no","Ricardo Andres Urrego Alvarez"
"Brachyopa vittata",1843,"Scandinavia south to the Pyrenees and east from Belgium/Netherlands through central Europe to European parts of Russia and the former Yugoslavia and on through Siberia to the Pacific.","yes","no","Ricardo Andres Urrego Alvarez"
"Brachypalpus chrysites",1859,"mountainous parts of central Europe south to the Pyrenees; Tatra mountains, Schwarzwald, through the Alps (France, Germany, Switzerland, Liechtenstein, Austria) eastwards into the former Yugoslavia, Roumania, Turkey and European parts of Russia.","yes","no","Ricardo Andres Urrego Alvarez"
"Brachypalpus laphriformis",1816,"southern Fennoscandia south to the Pyrenees; Ireland east through much of central Europe (and northern Italy) to the former Yugoslavia and European parts of Russia.","yes","no","Ricardo Andres Urrego Alvarez"
"Brachypalpus valgus",1798,"Denmark south to the Pyrenees and central Spain; northern France eastwards through central Europe to European parts of Russia. Localised and decreasing, although probably not yet threatened at European level.","unclear","unclear","Ricardo Andres Urrego Alvarez"
"Caliprobola speciosa",1790,"Denmark and Poland south to the Pyrenees and northern Spain; Britain (southern England) east through central Europe (plus northern Italy and northern parts of the former Yugoslavia) into Turkey and European parts of Russia and on into Asia as far as Eastern Siberia. This species is regarded as endangered in Spain (Marcos-Garcia, 2006).","yes","no","Ricardo Andres Urrego Alvarez"
"Callicera aenea",1777,"requires reassessment, due to confusion with C.aurata; but the species can be confirmed from Norway, Sweden, Poland, Czech Republic, France (Vosges) and various parts of Germany through central Europe into the Jura, the Alps (Switzerland, Austria) and (according to Zimina, 1986) on into European parts of Russia, south to the Crimea and east into Siberia and on to the Pacific (Sakhalin).","yes","no","Ricardo Andres Urrego Alvarez"
"Callicera aurata",1790,"can only be stated provisionally, due to confusion with C.aenea; confirmed from Norway/Sweden and Britain south to the Mediterranean and central Spain, including most of France; east through central and southern Europe with records from Germany, Switzerland, Italy, the former Yugoslavia, Greece and Turkey; according to Zimina (1986) (as C. zhelochovtsevi) from Albania and southern parts of European Russia, the Crimea and Caucasus and on to Azerbaijan.","yes","no","Ricardo Andres Urrego Alvarez"
"Callicera fagesii",1844,"can be confirmed from the Netherlands, Belgium, France (NW, south to the Mediterranean, inc. the Pyrenees); Germany; Portugal, Spain (Cadiz); Italy (including Sardinia); Greece; Turkey; the former Yugoslavia and Turkmenia (Zimina, 1986).","yes","no","Ricardo Andres Urrego Alvarez"
"Callicera macquartii",1844,"due to previous confusion with C.fagesii and C.rufa, the range information for 
this species can only be stated provisionally; central and southern France (inc. Pyrenees); south-west Germany (Rhine valley); 
southern Spain (Barcelona); central and southern Italy; Greece, Turkey and Cyprus. If C.rohdendorfi is a synonym of 
C.macquartii, then C.macquartii occurs also in the Crimea and Caucasus","yes","no","Ricardo Andres Urrego Alvarez"
"Callicera rufa",1842,"older records of this species require reassessment, due to potential confusion with C.fagesii and C.macquartii. C.rufa is known from Atlantic (Scotland, Belgium, Netherlands) central (Germany, Poland, Hungary) and southern (Balaearic islands, Portugal, Pyrenees, Corsica, Italy, Greece, Roumania) parts of Europe, but not, apparently, from Scandinavia or European Russia and there are no records from more eastern parts of the Palaearctic.","yes","no","Ricardo Andres Urrego Alvarez"
"Callicera spinolae",1844,"Britain (eastern England) and northern France south to the Pyrenees, Portugal, central Spain and the Mediterranean; Germany; Italy; Roumania; Tajikistan.","yes","no","Ricardo Andres Urrego Alvarez"
"Ceriana conopsoides",1758,"Finland south to the Mediterranean and N Africa; France east through central Europe and on into Asiatic parts of Russia to the Pacific; China. Rare and decreasing in western Europe. Probably present in Britain in the early 19th.cty. (see Verrall, 1901) but not recorded there since.","yes","no","Ricardo Andres Urrego Alvarez"
"Ceriana subsessillis",,,,,"Ricardo Andres Urrego Alvarez"
"Ceriana vespiformis",1804,"Spain and round the Mediterranean basin to Albania and Greece; Roumania and Turkey; Lebanon and Israel and in N Africa from Morocco to Egypt; also known from various Mediterranean islands, including Majorca, Corsica, Sardinia, Sicily, Malta, Crete and Rhodes. On Cyprus C. vespiformis is apparently replaced by the closely similar C. glaebosa. Reemer & van Aartsen (2000) record C.vespiformis from the Netherlands, based on two specimens collected in 1976 and 1978. Theirs are the only records north of the Alps and away from the Mediterranean zone of Europe. Until and unless data become available to indicate that C.vespiformis is established in the Netherlands, it would not seem justified to regard the records from the Netherlands as indicating that the natural range of the species extends that far north in Europe. Other potential explanations for those records would seem more likely.","no","no","Ricardo Andres Urrego Alvarez"
"Chalcosyrphus eunotus",1873,"Britain, Netherlands, Belgium, France, Germany, Czech Republic, Switzerland, Hungary, Poland, Roumania; in southern Europe from northern Spain, southern France, northern parts of the former Yugoslavia, Armenia, the Caucasus and Turkey.","yes","no","Ricardo Andres Urrego Alvarez"
"Chalcosyrphus femorata",1758,"Poland south to central France; Belgium and northern France east through central Europe into Russia and on through Siberia 
almost to the Pacific coast. This is today a very local species in much of Europe, but was clearly more frequent in the past. It 
should probably be regarded as threatened at European level.","yes","yes","Ricardo Andres Urrego Alvarez"
"Chalcosyrphus nemorum",1805,"Fennoscandia south to the Pyrenees; Ireland eastwards through much of northern, central and southern Europe (to southern Italy) into Russia and on to the Pacific coast (Sakhalin, Japan); in N America from Alaska to Nova Scotia and south to California.","yes","no","Ricardo Andres Urrego Alvarez"
"Chalcosyrphus piger",1794,"Scandinavia south to the Pyrenees, increasingly montane southwards; eastwards from northern France through central Europe into Asiatic parts of Russia; also in the Nearctic. A particularly enigmatic species, now threatened at the European level and approaching extinction in Western Europe. It is already believed to be extinct in the Netherlands.","yes","yes","Ricardo Andres Urrego Alvarez"
"Chalcosyrphus valgus",1790,"Scandinavia south to the Pyrenees; northern France eastwards through central and southern Europe into Asiatic parts of Russia almost as far as the Pacific coast; China. Today very localised within many parts of its European range, but not so evidently under threat as the closely similar C.femoratus.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia aeneus",,,,,"Ricardo Andres Urrego Alvarez"
"Cheilosia aerea",1848,"Poland south to the Mediterranean; from the Netherlands eastwards through much of central and southern Europe into European parts of Russia as far as the Transcaucasus.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia albipila",1838,"southern Fennoscandia south to the Pyrenees; Ireland eastwards through parts of northern and central Europe into European Russia and on to central Siberia.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia albitarsis",1822,"supposedly throughout the Palaearctic (including N Africa) except the far north and in N America, but requires re-appraisal due to confusion with C.ranunculi, Doczkal.","no","no","Ricardo Andres Urrego Alvarez"
"Cheilosia antiqua",1822,"Ireland through to central Europe and southern Europe (former Yugoslavia) and on into European parts of Russia. Apparently not recorded from further north than Denmark and not known from the Pyrenees, though it is recorded from Spain.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia barbata",1857,"Scandinavia south to central Spain; Britain east through most of central Europe to parts of European Russia; through upland areas of southern Europe to the former Yugoslavia.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia bergenstammi",1894,"Scandinavia south to the Pyrenees and northern Spain; Ireland east through central Europe to European parts of Russia.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia caerulescens",1822,"Britain and the Netherlands south to the Pyrenees; France eastwards through central Europe as far as European parts of Russia and southeast to the former Yugoslavia and Roumania.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia canicularis",1801,"requires redefinition, following reinstatement of C.himantopus, with which C.canicularis was confused until recently. At present confirmed from Denmark, France (Alpes Maritimes), Germany, Czech Republic, Switzerland (Jura), Austria, Slovakia, Italy (Alps, Apennines) and Turkey.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia carbonaria",1860,"Scandinavia south to the Pyrenees; southern England eastwards into central Europe, including European parts of Russia, and on into Siberia.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia chloris",1822,"Fennoscandia south to the Pyrenees; Belgium east through much of Europe into European parts of Russia and on into Siberia.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia chrysocoma",1822,"Scandinavia south to northern Spain, Italy and Bulgaria; Ireland eastwards through central Europe to European parts of Russia and on into Siberia.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia cynocephala",1840,"Fennoscandia south to central France; southern England eastwards through central Europe and on into central Russia; southwards into mountainous parts of northern Italy and the former Yugoslavia.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia fasciata",1853,"southern Norway; Netherlands south to northeast France; the Alps and northern parts of the former Yugoslavia, Bulgaria and Roumania.","unclear","no","Ricardo Andres Urrego Alvarez"
"Cheilosia flavipes",1798,"Sweden and Finland southwards, primarily through mountainous regions, to the Pyrenees and the Alpes-Maritimes, throughout the Alps to the former Yugoslavia and Bulgaria; through northern Europe into western parts of Siberia.","unclear","no","Ricardo Andres Urrego Alvarez"
"Cheilosia fraterna",1830,"Fenno-Scandia south to the Pyrenees, montane in southern parts of its range; Britain eastwards through central Europe into European parts of Russia and on into much of Siberia.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia frontalis",1857,"Fennoscandia and mountainous parts of Europe south to the Pyrenees and northern Spain; from the Ardennes east to the Alps and on into European parts of Russia.","unclear","no","Ricardo Andres Urrego Alvarez"
"Cheilosia griseiventris",,,,,"Ricardo Andres Urrego Alvarez"
"Cheilosia grossa",1817,"Fennoscandia south to Spain; Ireland eastwards through northern, central and southern Europe into Asiatic parts of Russia in Siberia. Also recorded from the Oriental region (Uttah Pradesh in northern India) and N Africa (Morocco).","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia himantopus",,,,,"Ricardo Andres Urrego Alvarez"
"Cheilosia illustrata",1776,"Fenno-scandia to Spain and Ireland to western parts of Siberia.","no","no","Ricardo Andres Urrego Alvarez"
"Cheilosia impressa",1840,"Fennoscandia south to the Pyrenees and north Spain; Ireland east through central Europe to European parts of Russia and on across Siberia to the Pacific.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia laeviseta",1987,"Northern Spain, Pyrenees (France) and Alps (France, Switzerland, Austria, northern Italy); Balkans (Montenegro).","no","no","Ricardo Andres Urrego Alvarez"
"Cheilosia lasiopa",1885,"Fennoscandia south to the Vosges mountains (north-east France); Britain eastwards through mountainous parts of central Europe into the former Yugoslavia and European parts of Russia.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia laticornis",1857,"southern Sweden, Netherlands, Poland, Czech Republic, southern Germany (Bavaria), France (Pyrenees, Causses, Cevennes, Massif Central, Alps); Switzerland (Swiss plateau, Rhone valley), Austria, Italy (inc. Sardinia and Sicily), Balkans (Bosnia, Croatia, Macedonia, Montenegro, Serbia, Slovenia), Roumania, southern Russia and the Ukraine on to the Transcaucasus and Kirghizistan; Afghanistan; Turkey, Israel and N Africa (Algeria, Libya). In Europe, there are isolated records of this species from the northern edge of its range that suggest it is currently expanding northwards.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia latifrons",1843,"Fenno-Scandia south to Iberia and from Ireland eastwards through central and southern Europe to Turkey and on into European parts of Russia and western Siberia. Also in N Africa (Kassebeer, 1998).","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia lenis",1894,"Germany south to the Pyrenees; Netherlands eastwards through central Europe to European parts of Russia; Italy & the former Yugoslavia.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia longula",1838,"Fennoscandia south to the Pyrenees; from Ireland eastwards through Eurasia to eastern Siberia; Italy; the former Yugoslavia.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia morio",1838,"from northern Scandinavia (Lapland) south to northern Germany and Poland; from the Baltic states and northern Germany eastwards through central Europe (Switzerland, Austria) to Bulgaria and Roumania and on into the Ukraine, the Balkans, western Siberia and Mongolia.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia mutabilis",1817,"Fennoscandia south to Iberia, the Mediterranean and N Africa; from Britain eastwards through much of Europe into Turkey and European parts of Russia into western Siberia.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia nebulosa",1871,"Finland south to northern France; from Ireland eastwards through central Europe to Bulgaria and European parts of Russia.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia nigripes",1822,"Fennoscandia south to the Pyrenees and northern Spain; from southern England eastwards through central and southern Europe (northern Italy, the former Yugoslavia) into Turkey and European parts of Russia; through Siberia to the Pacific coast.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia pagana",1822,"Fennoscandia south to Iberia; from Ireland eastwards through central and southern Europe into Turkey and Russia and on throughout Siberia.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia personata",1857,"Poland, the Alps, the Pyrenees, northern Spain and northern parts of the former Yugoslavia (Croatia, Montenegro, Serbia, Slovenia).","no","no","Ricardo Andres Urrego Alvarez"
"Cheilosia proxima",1843,"Fennoscandia south to Pyrenees and mountainous parts of Spain; Britain eastwards through much of Europe into Turkey and European parts of Russia; in Siberia from the Urals to Kamchatka.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia psilophthalma",1894,"uncertain, due to confusion until recently with C.latigenis and C.urbana, but confirmed from southern Norway, Sweden, southern Finland, Ireland, Britain, France (Vosges, Alps, Cevennes), Poland, Switzerland, Greece, Montenegro, Serbia and European Russia.","unclear","no","Ricardo Andres Urrego Alvarez"
"Cheilosia pubera",1838,"Fennoscandia, the Ardennes, northern Spain (Cordillera Cantabrica) and the Alps; from Ireland eastwards through northern and central Europe (plus mountainous parts of northern Italy and the former Yugoslavia) into European parts of Russia.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia ranunculi",2000,"uncertain as yet, due to confusion with C.albitarsis, but confirmed from Denmark, Britain (southern England), France (Paris basin southwards), Germany, Switzerland, Hungary, Italy (including Sicily), Spain, parts of the former Yugoslavia, Bulgaria, Roumania.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia scutellata",1817,"Fennoscandia south to Iberia and round the Mediterranean to Greece, Turkey and N Africa; from Ireland eastwards through Eurasia to the Pacific coast.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia semifasciata",1894,"northern Norway and Finland south to the Pyrenees; from Ireland eastwards through mountainous parts of central Europe to Roumania and Bulgaria.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia soror",1843,"Fennoscandia south to N Africa; from Britain (southern England) eastwards through most of Europe into Siberia and on to the Pacific coast, including Japan.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia urbana",1822,"Fennoscandia south to Iberia and the Mediterranean (including the island of Crete); from Britain eastwards through central and southern Europe to the Balkans and Turkey, and in N Africa.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia uviformis",1894,"Fennoscandia south to the Pyrenees; from Ireland eastwards through central Europe to the former Yugoslavia.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia variabilis",1798,"southern Fennoscandia south to Iberia; from Ireland eastwards through central and southern Europe (Italy, former Yugoslavia) into Bulgaria, Turkey and Russia as far as western Siberia. Also in N Africa (Morocco).","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia velutina",1840,"Fennoscandia south to Spain; from Ireland eastwards through much of Europe into Russia and on through Siberia to the Pacific coast.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia vernalis",1817,"Fennoscandia south to Iberia; from Ireland eastwards through central and southern Europe (Italy, former Yugoslavia) to Turkey and European parts of Russia and on through Siberia to the Pacific coast.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia vicina",1849,"Fennoscandia south to the Pyrenees and northern Spain; from Ireland eastwards through northern, central and southern Europe (northern Italy and the former Yugoslavia) into European parts of Russia and Turkey; in Siberia to Tuva.","yes","no","Ricardo Andres Urrego Alvarez"
"Cheilosia vulpina",1822,"Denmark to the Pyrenees and northern Spain; from Britain (England) eastwards through central Europe to central and southern parts of Russia as far as western Siberia.","yes","no","Ricardo Andres Urrego Alvarez"
"Chrysogaster aerosa",,,,,"Ricardo Andres Urrego Alvarez"
"Chrysogaster cemiteriorum",,,,,"Ricardo Andres Urrego Alvarez"
"Chrysogaster coemiteriorum",1758,"Fennoscandia south to N Africa; from Ireland eastwards through most of Europe (though extremely localised in the Alps) into Russia and on to the Pacific coast.","yes","no","Ricardo Andres Urrego Alvarez"
"Chrysogaster hirtella",,,,,"Ricardo Andres Urrego Alvarez"
"Chrysogaster nuda",,,,,"Ricardo Andres Urrego Alvarez"
"Chrysogaster solstitialis",1817,"from Fennoscandia south to Iberia and the Mediterranean, including N Africa; from Ireland eastwards through much of Europe into European parts of Russia as far as the Ukraine and the Caucasus mountains.","yes","no","Ricardo Andres Urrego Alvarez"
"Chrysogaster virescens",1854,"southern Finland, Ireland, Britain and the Atlantic seaboard of Europe from Denmark to the Pyrenees and northern Spain. Also in Switzerland, in central Europe.","yes","no","Ricardo Andres Urrego Alvarez"
"Chrysotoxum arcuatum",1764,"Fennoscandia south to the Pyrenees and northern Spain; from Ireland eastwards through northern and mountainous parts of central and southern Europe (northern Italy, the former Yugoslavia, Bulgaria) into European parts of Russia; through Siberia from the Urals to Kamchatka; Japan.","yes","no","Ricardo Andres Urrego Alvarez"
"Chrysotoxum bicinctum",1758,"Fennoscandia south to Iberia and the Mediterranean, including N Africa; through central and southern Europe (Italy, the former Yugoslavia, Bulgaria) into Turkey and European parts of Russia; in Asiatic parts of Russia as far as central Siberia.","yes","no","Ricardo Andres Urrego Alvarez"
"Chrysotoxum cautum",1776,"Finland south to the Pyrenees and Spain; Ireland (extinct?) and Britain (southern England) eastwards through central and southern Europe (Italy, the former Yugoslavia, Bulgaria, Greece) into Turkey and Russia as far as the Altai mountains (Mongolia).","yes","no","Ricardo Andres Urrego Alvarez"
"Chrysotoxum elegans",1841,"Fennoscandia south to Iberia and the Mediterranean; through central and southern Europe into European parts of Russia as far as the Caucasus Mountains and into Turkey. This insect seems to be disappearing rapidly from much of its European range, along with its primary habitat, ancient, unimproved pasture with patches of scrub woodland.","yes","yes","Ricardo Andres Urrego Alvarez"
"Chrysotoxum fasciatus",1764,"Fennoscandia south to the Pyrenees and northern Spain; from Ireland eastwards through northern and mountainous parts of central and southern Europe (northern Italy, the former Yugoslavia, Bulgaria) into European parts of Russia; through Siberia from the Urals to Kamchatka; Japan.","yes","no","Ricardo Andres Urrego Alvarez"
"Chrysotoxum fasciolatum",1776,"Fennoscandia, mountain ranges in Poland and Germany south to France (e.g. Vosges, Massif Central); and eastwards through northern Europe (Baltic States, Russia) into Siberia and on to the Pacific and Japan; from the Vosges eastwards through the Alps (including northern Italy and parts of the former Yugoslavia) and on to Bulgaria, the Ukraine and the Caucasus. Peck (1988) cites N America as part of the range of this species, but Vockeroth (1992) makes no reference to the occurrence of C.fasciolatum there.","yes","no","Ricardo Andres Urrego Alvarez"
"Chrysotoxum intermedium",1845,"France (Paris basin) south to the Mediterranean; from Spain eastwards through southern Europe to the former Yugoslavia and Bulgaria and on to Tajikistan and Uzbekistan.","no","no","Ricardo Andres Urrego Alvarez"
"Chrysotoxum octomaculatum",1837,"Britain (southern England) and the Netherlands south to the Mediterranean and eastwards through central and southern Europe into southern parts of Russia to as far as Armenia and Kazakhstan.","yes","no","Ricardo Andres Urrego Alvarez"
"Chrysotoxum orthostylum",2015,"as yet uncertain, but confirmed from FYR Macedonia, Montenegro, Serbia, Turkey and Kyrgyzstan.","no","no","Ricardo Andres Urrego Alvarez"
"Chrysotoxum parmense",1843,"southeast Spain, southern France, Italy, Greece (including Crete), Turkey, Lebanon and Israel, Iran and N Africa (Egypt); also recorded from the Transcaucasus.","no","no","Ricardo Andres Urrego Alvarez"
"Chrysotoxum persicum",2017,"Turkey, Azerbaijan, Armenia, Iran.","no","no","Ricardo Andres Urrego Alvarez"
"Chrysotoxum triarcuatum",,,,,"Ricardo Andres Urrego Alvarez"
